127.0.0.1, 2018-11-14 17:04:35, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-11-14 17:04:35, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2018-11-14 17:04:36, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2018-11-14 17:04:36, GET, /welcome/static/js/bootstrap.bundle.min.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-11-14 17:04:36, GET, /welcome/static/js/web2py-bootstrap4.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-11-14 17:04:36, GET, /welcome/static/images/background.jpg, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-11-14 17:04:36, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-11-14 17:04:48, GET, /welcome/default/index, HTTP/1.1, 200, 0.027000
127.0.0.1, 2018-11-14 17:05:08, GET, /admin/default/index, HTTP/1.1, 200, 1.020000
127.0.0.1, 2018-11-14 17:05:08, GET, /admin/static/_2.17.2/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.015000
127.0.0.1, 2018-11-14 17:05:08, GET, /admin/static/_2.17.2/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.030000
127.0.0.1, 2018-11-14 17:05:08, GET, /admin/static/_2.17.2/js/calendar.js, HTTP/1.1, 200, 0.048000
127.0.0.1, 2018-11-14 17:05:08, GET, /admin/static/_2.17.2/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.037000
127.0.0.1, 2018-11-14 17:05:08, GET, /admin/static/_2.17.2/js/web2py.js, HTTP/1.1, 200, 0.068000
127.0.0.1, 2018-11-14 17:05:08, GET, /admin/static/_2.17.2/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.018000
127.0.0.1, 2018-11-14 17:05:08, GET, /admin/static/_2.17.2/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.027000
127.0.0.1, 2018-11-14 17:05:08, GET, /admin/static/_2.17.2/js/jquery.js, HTTP/1.1, 200, 0.118000
127.0.0.1, 2018-11-14 17:05:08, GET, /admin/static/_2.17.2/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 200, 0.021000
127.0.0.1, 2018-11-14 17:05:08, GET, /admin/static/_2.17.2/css/bootstrap.min.css, HTTP/1.1, 200, 0.067000
127.0.0.1, 2018-11-14 17:05:08, GET, /admin/static/_2.17.2/js/bootstrap.min.js, HTTP/1.1, 200, 0.039000
127.0.0.1, 2018-11-14 17:05:08, GET, /admin/static/_2.17.2/plugin_multiselect/start.js, HTTP/1.1, 200, 0.046000
127.0.0.1, 2018-11-14 17:05:08, GET, /admin/static/_2.17.2/images/questions.png, HTTP/1.1, 200, 0.033000
127.0.0.1, 2018-11-14 17:05:08, GET, /admin/static/_2.17.2/css/calendar.css, HTTP/1.1, 200, 0.014000
127.0.0.1, 2018-11-14 17:05:08, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2018-11-14 17:05:12, POST, /admin/default/index, HTTP/1.1, 303, 0.043000
127.0.0.1, 2018-11-14 17:05:13, GET, /admin/default/site, HTTP/1.1, 200, 0.065000
127.0.0.1, 2018-11-14 17:05:13, GET, /admin/static/_2.17.2/images/folder.png, HTTP/1.1, 200, 0.022000
127.0.0.1, 2018-11-14 17:05:13, GET, /admin/static/_2.17.2/images/folder_locked.png, HTTP/1.1, 200, 0.022000
127.0.0.1, 2018-11-14 17:05:13, GET, /admin/static/_2.17.2/images/glyphicons-halflings-white.png, HTTP/1.1, 200, 0.018000
127.0.0.1, 2018-11-14 17:05:14, POST, /admin/default/check_version, HTTP/1.1, 200, 1.177000
127.0.0.1, 2018-11-14 17:05:15, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-11-14 17:05:39, POST, /admin/default/site, HTTP/1.1, 200, 0.039000
127.0.0.1, 2018-11-14 17:05:40, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-11-14 17:05:48, POST, /admin/default/site, HTTP/1.1, 303, 1.096000
127.0.0.1, 2018-11-14 17:05:48, GET, /admin/default/design/pythonWeb, HTTP/1.1, 200, 0.163000
127.0.0.1, 2018-11-14 17:05:48, GET, /admin/static/_2.17.2/images/help.png, HTTP/1.1, 200, 0.003000
127.0.0.1, 2018-11-14 17:05:48, GET, /admin/static/_2.17.2/images/search.png, HTTP/1.1, 200, 0.010000
127.0.0.1, 2018-11-14 17:05:48, GET, /admin/static/_2.17.2/images/delete_icon.png, HTTP/1.1, 200, 0.004000
127.0.0.1, 2018-11-14 17:05:48, GET, /admin/static/_2.17.2/images/test_icon.png, HTTP/1.1, 200, 0.014000
127.0.0.1, 2018-11-14 17:05:48, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-11-14 17:06:34, GET, /admin/default/design/pythonWeb, HTTP/1.1, 200, 0.076000
127.0.0.1, 2018-11-14 17:06:34, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-11-14 17:19:49, POST, /admin/default/create_file, HTTP/1.1, 303, 0.052000
127.0.0.1, 2018-11-14 17:19:49, GET, /admin/default/design/pythonWeb, HTTP/1.1, 200, 0.084000
127.0.0.1, 2018-11-14 17:19:49, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-11-14 17:20:31, GET, /admin/default/edit/pythonWeb/controllers/basics.py, HTTP/1.1, 200, 0.102000
127.0.0.1, 2018-11-14 17:20:31, GET, /admin/static/_2.17.2/codemirror/theme/web2py.css, HTTP/1.1, 200, 0.007000
127.0.0.1, 2018-11-14 17:20:31, GET, /admin/static/_2.17.2/codemirror/addon/hint/show-hint.css, HTTP/1.1, 200, 0.014000
127.0.0.1, 2018-11-14 17:20:31, GET, /admin/static/_2.17.2/codemirror/addon/dialog/dialog.css, HTTP/1.1, 200, 0.005000
127.0.0.1, 2018-11-14 17:20:31, GET, /admin/static/_2.17.2/codemirror/addon/display/fullscreen.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-11-14 17:20:31, GET, /admin/static/_2.17.2/codemirror/lib/codemirror.css, HTTP/1.1, 200, 0.081000
127.0.0.1, 2018-11-14 17:20:31, GET, /admin/static/_2.17.2/codemirror/mode/python/python.js, HTTP/1.1, 200, 0.055000
127.0.0.1, 2018-11-14 17:20:31, GET, /admin/static/_2.17.2/codemirror/addon/fold/foldgutter.css, HTTP/1.1, 200, 0.008000
127.0.0.1, 2018-11-14 17:20:31, GET, /admin/static/_2.17.2/codemirror/addon/edit/closetag.js, HTTP/1.1, 200, 0.091000
127.0.0.1, 2018-11-14 17:20:31, GET, /admin/static/_2.17.2/codemirror/addon/edit/matchbrackets.js, HTTP/1.1, 200, 0.096000
127.0.0.1, 2018-11-14 17:20:31, GET, /admin/static/_2.17.2/css/web2py-codemirror.css, HTTP/1.1, 200, 0.022000
127.0.0.1, 2018-11-14 17:20:31, GET, /admin/static/_2.17.2/css/typeahead.js-bootstrap.css, HTTP/1.1, 200, 0.027000
127.0.0.1, 2018-11-14 17:20:31, GET, /admin/static/_2.17.2/codemirror/mode/xml/xml.js, HTTP/1.1, 200, 0.026000
127.0.0.1, 2018-11-14 17:20:31, GET, /admin/static/_2.17.2/codemirror/mode/css/css.js, HTTP/1.1, 200, 0.042000
127.0.0.1, 2018-11-14 17:20:31, GET, /admin/static/_2.17.2/codemirror/addon/search/search.js, HTTP/1.1, 200, 0.020000
127.0.0.1, 2018-11-14 17:20:31, GET, /admin/static/_2.17.2/codemirror/addon/hint/python-hint.js, HTTP/1.1, 200, 0.031000
127.0.0.1, 2018-11-14 17:20:31, GET, /admin/static/_2.17.2/codemirror/mode/htmlmixed/htmlmixed.js, HTTP/1.1, 200, 0.045000
127.0.0.1, 2018-11-14 17:20:31, GET, /admin/static/_2.17.2/codemirror/addon/hint/show-hint.js, HTTP/1.1, 200, 0.053000
127.0.0.1, 2018-11-14 17:20:31, GET, /admin/static/_2.17.2/codemirror/addon/dialog/dialog.js, HTTP/1.1, 200, 0.018000
127.0.0.1, 2018-11-14 17:20:31, GET, /admin/static/_2.17.2/codemirror/mode/javascript/javascript.js, HTTP/1.1, 200, 0.062000
127.0.0.1, 2018-11-14 17:20:31, GET, /admin/static/_2.17.2/codemirror/addon/edit/trailingspace.js, HTTP/1.1, 200, 0.019000
127.0.0.1, 2018-11-14 17:20:31, GET, /admin/static/_2.17.2/codemirror/lib/codemirror.js, HTTP/1.1, 200, 0.236000
127.0.0.1, 2018-11-14 17:20:31, GET, /admin/static/_2.17.2/codemirror/addon/fold/foldcode.js, HTTP/1.1, 200, 0.007000
127.0.0.1, 2018-11-14 17:20:31, GET, /admin/static/_2.17.2/codemirror/addon/selection/active-line.js, HTTP/1.1, 200, 0.022000
127.0.0.1, 2018-11-14 17:20:31, GET, /admin/static/_2.17.2/codemirror/addon/search/searchcursor.js, HTTP/1.1, 200, 0.059000
127.0.0.1, 2018-11-14 17:20:31, GET, /admin/static/_2.17.2/codemirror/addon/display/fullscreen.js, HTTP/1.1, 200, 0.026000
127.0.0.1, 2018-11-14 17:20:31, GET, /admin/static/_2.17.2/codemirror/addon/fold/xml-fold.js, HTTP/1.1, 200, 0.016000
127.0.0.1, 2018-11-14 17:20:31, GET, /admin/static/_2.17.2/codemirror/addon/fold/brace-fold.js, HTTP/1.1, 200, 0.025000
127.0.0.1, 2018-11-14 17:20:31, GET, /admin/static/_2.17.2/codemirror/addon/fold/foldgutter.js, HTTP/1.1, 200, 0.027000
127.0.0.1, 2018-11-14 17:20:31, GET, /admin/static/_2.17.2/codemirror/addon/comment/comment.js, HTTP/1.1, 200, 0.017000
127.0.0.1, 2018-11-14 17:20:31, GET, /admin/static/_2.17.2/codemirror/addon/fold/indent-fold.js, HTTP/1.1, 200, 0.020000
127.0.0.1, 2018-11-14 17:20:31, GET, /admin/static/_2.17.2/codemirror/addon/fold/comment-fold.js, HTTP/1.1, 200, 0.028000
127.0.0.1, 2018-11-14 17:20:31, GET, /admin/static/_2.17.2/js/ajax_editor.js, HTTP/1.1, 200, 0.056000
127.0.0.1, 2018-11-14 17:20:31, GET, /admin/static/_2.17.2/js/hogan-2.0.0.js, HTTP/1.1, 200, 0.044000
127.0.0.1, 2018-11-14 17:20:31, GET, /admin/static/_2.17.2/js/typeahead.min.js, HTTP/1.1, 200, 0.068000
127.0.0.1, 2018-11-14 17:20:31, GET, /admin/static/_2.17.2/codemirror/emmet.min.js, HTTP/1.1, 200, 0.124000
127.0.0.1, 2018-11-14 17:20:31, GET, /admin/static/_2.17.2/images/files_toggle.png, HTTP/1.1, 200, 0.005000
127.0.0.1, 2018-11-14 17:20:31, GET, /admin/static/_2.17.2/images/glyphicons-halflings.png, HTTP/1.1, 200, 0.014000
127.0.0.1, 2018-11-14 17:20:31, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2018-11-14 17:20:31, GET, /admin/default/edit/pythonWeb/controllers/basics.py, HTTP/1.1, 200, 0.076000
127.0.0.1, 2018-11-14 17:20:31, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.141000
127.0.0.1, 2018-11-14 17:20:31, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.188000
127.0.0.1, 2018-11-14 17:20:32, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.473000
127.0.0.1, 2018-11-14 17:20:32, GET, /admin/static/_2.17.2/images/save_icon.png, HTTP/1.1, 200, 0.089000
127.0.0.1, 2018-11-14 17:20:32, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.610000
127.0.0.1, 2018-11-14 17:20:33, GET, /pythonWeb/appadmin/hooks, HTTP/1.1, 200, 1.712000
127.0.0.1, 2018-11-14 17:21:31, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.029000
127.0.0.1, 2018-11-14 17:21:32, GET, /pythonWeb/appadmin/hooks, HTTP/1.1, 200, 1.159000
127.0.0.1, 2018-11-14 17:22:31, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.025000
127.0.0.1, 2018-11-14 17:22:32, GET, /pythonWeb/appadmin/hooks, HTTP/1.1, 200, 1.243000
127.0.0.1, 2018-11-14 17:22:47, POST, /admin/default/edit/pythonWeb/controllers/basics.py, HTTP/1.1, 200, 0.058000
127.0.0.1, 2018-11-14 17:23:04, GET, /admin/default/design/pythonWeb, HTTP/1.1, 200, 0.102000
127.0.0.1, 2018-11-14 17:23:05, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-11-14 17:24:03, POST, /admin/default/create_file, HTTP/1.1, 303, 0.039000
127.0.0.1, 2018-11-14 17:24:03, GET, /admin/default/design/pythonWeb, HTTP/1.1, 200, 0.087000
127.0.0.1, 2018-11-14 17:24:04, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-11-14 17:24:40, GET, /admin/default/peek/pythonWeb/views/basics/helloworld.html, HTTP/1.1, 200, 0.058000
127.0.0.1, 2018-11-14 17:24:40, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-11-14 17:24:42, GET, /admin/default/edit/pythonWeb/views/basics/helloworld.html, HTTP/1.1, 200, 0.090000
127.0.0.1, 2018-11-14 17:24:42, GET, /admin/default/edit/pythonWeb/views/basics/helloworld.html, HTTP/1.1, 200, 0.035000
127.0.0.1, 2018-11-14 17:24:42, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-11-14 17:24:42, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.053000
127.0.0.1, 2018-11-14 17:24:43, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.080000
127.0.0.1, 2018-11-14 17:24:43, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.135000
127.0.0.1, 2018-11-14 17:24:43, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.143000
127.0.0.1, 2018-11-14 17:24:43, GET, /pythonWeb/appadmin/hooks, HTTP/1.1, 200, 0.321000
127.0.0.1, 2018-11-14 17:24:56, POST, /admin/default/edit/pythonWeb/views/basics/helloworld.html, HTTP/1.1, 200, 0.031000
127.0.0.1, 2018-11-14 17:25:38, POST, /admin/default/edit/pythonWeb/views/basics/helloworld.html, HTTP/1.1, 200, 0.040000
127.0.0.1, 2018-11-14 17:25:42, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.026000
127.0.0.1, 2018-11-14 17:25:44, GET, /pythonWeb/appadmin/hooks, HTTP/1.1, 200, 1.544000
127.0.0.1, 2018-11-14 17:26:42, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.030000
127.0.0.1, 2018-11-14 17:26:44, GET, /pythonWeb/appadmin/hooks, HTTP/1.1, 200, 1.367000
127.0.0.1, 2018-11-14 17:27:06, GET, /pythonWeb/basics/helloworld, HTTP/1.1, 200, 0.349000
127.0.0.1, 2018-11-14 17:27:06, GET, /pythonWeb/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-11-14 17:27:06, GET, /pythonWeb/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-11-14 17:27:06, GET, /pythonWeb/static/css/calendar.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-11-14 17:27:06, GET, /pythonWeb/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.006000
127.0.0.1, 2018-11-14 17:27:06, GET, /pythonWeb/static/js/calendar.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-11-14 17:27:06, GET, /pythonWeb/static/js/jquery.js, HTTP/1.1, 200, 0.006000
127.0.0.1, 2018-11-14 17:27:06, GET, /pythonWeb/static/js/web2py.js, HTTP/1.1, 200, 0.005000
127.0.0.1, 2018-11-14 17:27:06, GET, /pythonWeb/static/js/bootstrap.bundle.min.js, HTTP/1.1, 200, 0.006000
127.0.0.1, 2018-11-14 17:27:06, GET, /pythonWeb/static/js/web2py-bootstrap4.js, HTTP/1.1, 200, 0.007000
127.0.0.1, 2018-11-14 17:27:06, GET, /pythonWeb/static/images/favicon.ico, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-11-14 17:27:42, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.086000
127.0.0.1, 2018-11-14 17:27:43, GET, /pythonWeb/appadmin/hooks, HTTP/1.1, 200, 0.240000
127.0.0.1, 2018-11-14 17:28:42, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.080000
127.0.0.1, 2018-11-14 17:28:43, GET, /pythonWeb/appadmin/hooks, HTTP/1.1, 200, 0.228000
127.0.0.1, 2018-11-14 17:29:42, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.080000
127.0.0.1, 2018-11-14 17:29:43, GET, /pythonWeb/appadmin/hooks, HTTP/1.1, 200, 0.222000
127.0.0.1, 2018-11-14 17:30:26, POST, /admin/default/edit/pythonWeb/views/basics/helloworld.html, HTTP/1.1, 200, 0.035000
